shipped_date,sku,qty,revenue,cost_of_good_sold,moq_order,channel_count
2021-01-01,089A0E,220,5821.2,2926.0,56460,2
2021-01-03,089A0E,140,3704.4,2156.0,56460,1
2021-01-05,089A0E,150,3969.0,2310.0,56460,1
2021-01-09,089A0E,190,5027.4,2926.0,56460,1
2021-01-11,089A0E,60,1587.6,924.0,56460,1
2021-01-15,089A0E,140,3704.4,2156.0,56460,1
2021-01-17,089A0E,50,1323.0,1071.63,56460,1
2021-01-19,089A0E,60,1587.6,1285.96,56460,1
2021-01-21,089A0E,190,5027.4,4072.19,56460,1
2021-01-23,089A0E,60,1587.6,1285.96,56460,1
2021-01-25,089A0E,40,1058.4,857.3,56460,1
2021-01-29,089A0E,90,2381.4,1928.93,56460,1
2021-01-31,089A0E,110,2910.6,2357.59,56460,1
2021-02-02,089A0E,300,7938.0,6429.78,56460,1
2021-02-04,089A0E,20,529.2,428.65,56460,1
2021-02-06,089A0E,60,1587.6,1285.96,56460,1
2021-02-10,089A0E,40,1058.4,857.3,56460,1
2021-02-12,089A0E,100,2646.0,2143.26,56460,1
2021-02-14,089A0E,50,1323.0,1071.63,56460,1
2021-02-16,089A0E,20,529.2,428.65,56460,1
2021-02-18,089A0E,20,529.2,428.65,56460,1
2021-02-20,089A0E,80,2116.8,1714.61,56460,1
2021-02-22,089A0E,10,264.6,214.33,56460,1
2021-02-24,089A0E,40,1058.4,857.3,56460,1
2021-02-26,089A0E,10,264.6,214.33,56460,1
2021-02-28,089A0E,10,264.6,154.0,56460,1
2021-03-02,089A0E,160,4233.6,2524.33,56460,2
2021-03-04,089A0E,110,2910.6000000000004,1814.65,56460,2
2021-03-06,089A0E,90,2381.4,1446.33,56460,2
2021-03-08,089A0E,70,0.0,0.0,56460,1
2021-03-12,089A0E,150,0.0,0.0,56460,1
2021-03-14,089A0E,90,2381.4,1386.0,56460,1
2021-03-16,089A0E,170,4498.2,2618.0,56460,1
2021-03-18,089A0E,130,3439.8,2002.0,56460,1
2021-03-20,089A0E,130,3439.8,2002.0,56460,1
2021-03-22,089A0E,40,1058.4,616.0,56460,1
2021-03-24,089A0E,10,264.6,214.33,56460,1
2021-03-26,089A0E,330,6505.8,3882.2,56460,2
2021-03-28,089A0E,70,1852.2,1078.0,56460,1
2021-03-30,089A0E,130,3439.8,2002.0,56460,1
2021-04-01,089A0E,180,4762.8,2772.0,56460,1
2021-04-03,089A0E,90,2381.4,1386.0,56460,1
2021-05-21,089A0E,10,264.46,154.0,56460,1
2021-05-23,089A0E,150,3966.9,2310.0,56460,1
2021-05-25,089A0E,80,2115.68,1232.0,56460,1
2021-05-27,089A0E,80,2115.68,1232.0,56460,1
2021-05-29,089A0E,50,1322.3,770.0,56460,1
2021-05-31,089A0E,60,1586.76,924.0,56460,1
2021-06-04,089A0E,100,2644.6,1540.0,56460,1
2021-06-06,089A0E,120,3173.52,1848.0,56460,1
2021-06-08,089A0E,120,3173.52,1848.0,56460,1
2021-06-10,089A0E,30,793.38,462.0,56460,1
2021-06-12,089A0E,70,1851.22,1078.0,56460,1
2021-06-14,089A0E,10,0.0,0.0,56460,1
2021-06-18,089A0E,170,4495.82,2618.0,56460,1
2021-06-20,089A0E,70,1851.22,1078.0,56460,1
2021-06-22,089A0E,130,3437.98,2002.0,56460,1
2021-06-24,089A0E,20,528.92,308.0,56460,1
2021-06-26,089A0E,60,1586.76,924.0,56460,1
2021-06-28,089A0E,40,1057.84,616.0,56460,1
2021-07-02,089A0E,160,4231.36,2464.0,56460,1
2021-07-04,089A0E,170,4495.82,2618.0,56460,1
2021-07-06,089A0E,120,3173.52,1848.0,56460,1
2021-07-08,089A0E,90,2380.14,1386.0,56460,1
2021-07-10,089A0E,100,2644.6,1540.0,56460,1
2021-07-16,089A0E,110,2909.06,1694.0,56460,1
2021-07-18,089A0E,90,2380.14,1386.0,56460,1
2021-07-20,089A0E,110,2909.06,1694.0,56460,1
2021-07-22,089A0E,40,1057.84,616.0,56460,1
2021-07-24,089A0E,140,3702.44,2156.0,56460,1
2021-08-01,089A0E,230,0.0,0.0,56460,1
2021-08-03,089A0E,160,0.0,0.0,56460,2
2021-08-05,089A0E,80,0.0,0.0,56460,1
2021-08-07,089A0E,70,0.0,0.0,56460,1
2021-08-09,089A0E,30,0.0,0.0,56460,1
2021-08-13,089A0E,160,0.0,0.0,56460,1
2021-08-15,089A0E,140,0.0,0.0,56460,1
2021-08-17,089A0E,80,0.0,0.0,56460,1
2021-08-19,089A0E,110,0.0,0.0,56460,1
2021-08-21,089A0E,110,0.0,0.0,56460,1
2021-08-23,089A0E,20,529.2,308.0,56460,1
2021-08-27,089A0E,210,4730.6,3168.2,56460,2
2021-08-29,089A0E,160,4233.6,2464.0,56460,1
2021-08-31,089A0E,80,2116.8,1232.0,56460,1
2021-09-02,089A0E,70,1852.2,1078.0,56460,1
2021-09-04,089A0E,90,2381.4,1386.0,56460,1
2021-09-06,089A0E,50,1323.0,770.0,56460,1
2021-09-10,089A0E,170,4498.2,2618.0,56460,1
2021-09-12,089A0E,420,3179.3999999999996,1851.4,56460,2
2021-09-14,089A0E,120,3175.2,1848.0,56460,1
2021-09-16,089A0E,40,0.0,0.0,56460,1
2021-09-18,089A0E,10,264.6,154.0,56460,1
2021-09-24,089A0E,260,6703.2,4004.0,56460,1
2021-09-26,089A0E,270,6942.6,4158.0,56460,1
2021-09-28,089A0E,30,793.8,462.0,56460,1
2021-09-30,089A0E,70,1852.2,1078.0,56460,1
2021-10-02,089A0E,60,1587.6,924.0,56460,1
2021-10-04,089A0E,120,3175.2,1848.0,56460,1
2021-10-08,089A0E,100,2646.0,1540.0,56460,1
2021-10-10,089A0E,50,1323.0,770.0,56460,1
2021-10-12,089A0E,40,1058.4,616.0,56460,2
2021-10-14,089A0E,30,559.86,462.0,56460,1
2021-10-16,089A0E,90,1835.54,1386.0,56460,1
2021-10-20,089A0E,10,186.62,154.0,56460,1
2021-10-22,089A0E,220,4183.62,3542.0,56460,1
2021-10-24,089A0E,150,2799.3,2310.0,56460,1
2021-10-26,089A0E,340,6414.8,5236.0,56460,1
2021-10-30,089A0E,690,13018.32,10626.0,56460,1
2021-11-01,089A0E,430,8112.86,6622.0,56460,1
2021-11-05,089A0E,1030,19221.86,15862.0,56460,1
2021-11-07,089A0E,1180,22021.16,18172.0,56460,1
2021-11-09,089A0E,860,16049.32,13244.0,56460,1
2021-11-11,089A0E,700,13809.32,10780.0,56460,1
2021-11-13,089A0E,320,7743.4,4928.0,56460,1
2021-11-15,089A0E,670,12503.54,10318.0,56460,1
2021-11-19,089A0E,1310,24447.22,20328.0,56460,1
2021-11-21,089A0E,90,2069.48,1386.0,56460,1
2021-11-23,089A0E,270,8191.26,4158.0,56460,1
2021-11-25,089A0E,70,1943.76,1078.0,56460,1
2021-12-05,089A0E,10,186.62,154.0,56460,1
2021-12-09,089A0E,10,279.86,154.0,56460,1
2021-12-17,089A0E,10,279.86,154.0,56460,1
2021-12-25,089A0E,10,279.86,154.0,56460,1
2021-01-01,0FKFLA,780,32028.36,13104.0,427545,1
2021-01-03,0FKFLA,885,36339.87,14868.0,427545,1
2021-01-05,0FKFLA,435,17861.97,7308.0,427545,1
2021-01-07,0FKFLA,165,6775.23,2772.0,427545,1
2021-01-09,0FKFLA,600,24637.2,10080.0,427545,1
2021-01-11,0FKFLA,555,22789.41,9324.0,427545,1
2021-01-13,0FKFLA,555,22789.41,9324.0,427545,1
2021-01-15,0FKFLA,495,20325.69,8316.0,427545,1
2021-01-17,0FKFLA,540,22173.48,9072.0,427545,1
2021-01-19,0FKFLA,525,21557.55,8820.0,427545,1
2021-01-21,0FKFLA,765,31412.43,12852.0,427545,1
2021-01-23,0FKFLA,480,19709.76,8064.0,427545,1
2021-01-25,0FKFLA,450,18477.9,7560.0,427545,1
2021-01-27,0FKFLA,615,25253.13,10332.0,427545,1
2021-01-29,0FKFLA,840,34492.08,14112.0,427545,1
2021-01-31,0FKFLA,525,21557.55,8820.0,427545,1
2021-02-02,0FKFLA,765,31412.43,12852.0,427545,1
2021-02-04,0FKFLA,750,30796.5,12600.0,427545,1
2021-02-06,0FKFLA,675,27716.85,11340.0,427545,1
2021-02-08,0FKFLA,480,19709.76,8064.0,427545,1
2021-02-10,0FKFLA,600,24637.2,10080.0,427545,1
2021-02-12,0FKFLA,660,27100.92,11088.0,427545,1
2021-02-14,0FKFLA,645,26484.99,10836.0,427545,1
2021-02-16,0FKFLA,780,32028.36,13104.0,427545,1
2021-02-18,0FKFLA,570,23405.34,9576.0,427545,1
2021-02-20,0FKFLA,705,28948.71,11844.0,427545,1
2021-02-22,0FKFLA,435,17861.97,7308.0,427545,1
2021-02-24,0FKFLA,420,17246.04,7056.0,427545,1
2021-02-26,0FKFLA,480,19709.76,8064.0,427545,1
2021-02-28,0FKFLA,645,26484.99,10836.0,427545,1
2021-03-02,0FKFLA,765,31412.43,12852.0,427545,1
2021-03-04,0FKFLA,780,27772.92,11632.32,427545,2
2021-03-06,0FKFLA,600,24637.2,10080.0,427545,1
2021-03-08,0FKFLA,525,0.0,0.0,427545,1
2021-03-10,0FKFLA,720,29564.64,12096.0,427545,1
2021-03-12,0FKFLA,645,0.0,0.0,427545,1
2021-03-14,0FKFLA,570,23405.34,9576.0,427545,1
2021-03-16,0FKFLA,720,29564.64,12096.0,427545,1
2021-03-18,0FKFLA,480,19709.76,8064.0,427545,1
2021-03-20,0FKFLA,660,27100.92,11088.0,427545,1
2021-03-22,0FKFLA,570,23405.34,9576.0,427545,1
2021-03-24,0FKFLA,690,28332.78,11592.0,427545,1
2021-03-26,0FKFLA,585,24021.27,9828.0,427545,1
2021-03-28,0FKFLA,780,32028.36,13104.0,427545,1
2021-03-30,0FKFLA,570,23405.34,9576.0,427545,1
2021-04-01,0FKFLA,600,24637.2,10080.0,427545,1
2021-04-03,0FKFLA,570,23405.34,9576.0,427545,1
2021-04-05,0FKFLA,405,16630.11,6804.0,427545,1
2021-04-07,0FKFLA,495,20325.69,8316.0,427545,1
2021-04-09,0FKFLA,660,27100.92,11088.0,427545,1
2021-04-11,0FKFLA,540,22173.48,9072.0,427545,1
2021-04-13,0FKFLA,450,18477.9,7560.0,427545,1
2021-04-15,0FKFLA,435,17861.97,7308.0,427545,1
2021-04-17,0FKFLA,1065,43731.03,17892.0,427545,1
2021-04-19,0FKFLA,435,17861.97,7308.0,427545,1
2021-04-21,0FKFLA,615,25253.13,10332.0,427545,1
2021-04-23,0FKFLA,945,38803.59,15876.0,427545,1
2021-04-25,0FKFLA,735,30180.57,12348.0,427545,1
2021-04-27,0FKFLA,720,29564.64,12096.0,427545,1
2021-04-29,0FKFLA,750,30796.5,12600.0,427545,1
2021-05-01,0FKFLA,780,32028.36,13104.0,427545,1
2021-05-03,0FKFLA,420,17246.04,7056.0,427545,1
2021-05-05,0FKFLA,705,28948.71,11844.0,427545,1
2021-05-07,0FKFLA,540,22173.48,9072.0,427545,1
2021-05-09,0FKFLA,1005,41267.31,16884.0,427545,1
2021-05-11,0FKFLA,855,35108.01,14364.0,427545,1
2021-05-13,0FKFLA,405,16630.11,6804.0,427545,1
2021-05-15,0FKFLA,585,24021.27,9828.0,427545,1
2021-05-17,0FKFLA,480,19709.76,8064.0,427545,1
2021-05-19,0FKFLA,525,21557.55,8820.0,427545,1
2021-05-21,0FKFLA,825,33876.15,13860.0,427545,1
2021-05-23,0FKFLA,585,24021.27,9828.0,427545,1
2021-05-25,0FKFLA,960,39419.52,16128.0,427545,1
2021-05-27,0FKFLA,720,29564.64,12096.0,427545,1
2021-05-29,0FKFLA,780,32028.36,13104.0,427545,1
2021-05-31,0FKFLA,825,33876.15,13860.0,427545,1
2021-06-02,0FKFLA,990,40651.38,16632.0,427545,1
2021-06-04,0FKFLA,630,25869.06,10584.0,427545,1
2021-06-06,0FKFLA,870,35723.94,14616.0,427545,1
2021-06-08,0FKFLA,405,16630.11,6804.0,427545,1
2021-06-10,0FKFLA,555,22789.41,9324.0,427545,1
2021-06-12,0FKFLA,495,20325.69,8316.0,427545,1
