feature,importance
day_of_week,881
qty_lag_7,812
qty_lag_1,785
qty_lag_14,749
qty_rolling_std_3,678
qty_rolling_mean_7,674
qty_rolling_std_7,638
day,631
moq_order,631
sku_expanding_std_qty,626
qty_rolling_std_14,619
qty_rolling_mean_14,590
qty_lag_3,589
qty_lag_2,585
sku_encoded,583
qty_rolling_mean_3,558
week_of_year,554
sku_expanding_mean_qty,523
sku_expanding_median_qty,505
qty_rolling_min_7,443
qty_rolling_min_14,433
qty_rolling_min_3,422
qty_rolling_max_7,404
qty_rolling_max_3,401
qty_rolling_max_14,378
month,276
is_weekend,24
quarter,8
year,0
