feature,importance
day_of_week,738
qty_lag_1,504
qty_lag_7,439
moq_order,423
qty_rolling_std_7,392
qty_lag_14,390
qty_rolling_mean_7,379
qty_rolling_std_14,373
day,371
qty_rolling_std_3,362
sku_expanding_std_qty,359
qty_lag_2,358
week_of_year,358
qty_rolling_mean_14,338
qty_rolling_mean_3,333
qty_lag_3,328
sku_expanding_mean_qty,321
sku_encoded,317
sku_expanding_median_qty,297
qty_rolling_min_14,262
qty_rolling_min_7,251
qty_rolling_max_7,238
qty_rolling_min_3,230
qty_rolling_max_3,227
qty_rolling_max_14,203
month,192
is_weekend,16
quarter,1
year,0
