sku,actual_qty,predicted_qty,absolute_error,wape
FJDJ6B,232470,128282.32999692514,152701.1920787318,0.6568640774238904
8LCPHF,77077,37930.18962487857,47720.489109367016,0.6191274843256356
XDYFFX,66582,25104.84140890418,47107.42911598629,0.7075099744072917
LHR5LZ,57876,21933.58843692817,42684.58911398152,0.7375179541430217
67LPLP,112056,95866.56724125944,36536.23617259334,0.32605336771429766
1JKADT,111230,95173.02800922778,34202.019214604064,0.3074891595307387
4OCITK,89094,81234.04593953234,26957.30845224921,0.30257153626786554
Y6HWKQ,59614,39849.80201991133,25419.344856581858,0.4263989139561489
HVARMV,55704,34522.37623944159,25056.79827146938,0.44982044864766224
NLDP86,49322,35282.62091229546,22936.094180968397,0.465027658670946
VLMPCV,30667,13168.463067356359,22006.84533852219,0.7176067218352689
THA8AA,31104,18414.150455292165,21589.01002349333,0.694091114438443
VJK56C,46986,36591.1757650036,19854.82157644694,0.42256888384725105
YXSGGN,47712,33813.79065385242,18189.238847399236,0.38122985511819324
MLKPQP,39192,27219.968421273792,17529.96082538516,0.44728416068037247
BJ30D6,45570,35372.107776423916,17163.55959024599,0.37664164121672133
GTSQ2X,35340,28512.379157149855,17148.099189387398,0.4852320087545953
V8SEQG,63180,60251.599357332314,17124.358900421183,0.2710408183035958
58CEBZ,43560,30948.700780793526,16374.349550024102,0.37590334136878106
48CE59,44928,33132.068905824075,15836.441708920433,0.35248490270923327
VJ00JJ,44198,35503.15686959725,14611.026983270607,0.33058117976538776
6HSD4J,46991,37538.22738508772,12460.44660864323,0.26516666188511057
SHZ5Y2,24552,18084.22010182384,12432.221579480649,0.506362886098104
TGSLCJ,26144,17507.46863123741,11984.073795265354,0.4583871555716552
JLZPTV,23933,14359.262087263294,11762.420996213268,0.491472903364111
V1KLV1,23430,15553.286817531485,11451.386143460222,0.488748875094333
17KYMH,21873,13604.631704213114,11436.331245837893,0.5228515176627757
A9WS0A,28440,21246.45982193984,11016.4585584258,0.3873578958658861
JQLOC6,28592,22183.235163045043,10638.196452589818,0.3720689861706008
4YT2UF,21280,11661.762843372206,10549.669010111986,0.4957551226556384
9O55HC,19602,14602.22447321379,10096.046880185428,0.5150518763486087
2HF54F,19320,11107.228772529927,9943.522441294957,0.5146750746011882
LO65T4,19701,16963.220235613706,9852.431221307852,0.500098026562502
